Jurisdiction,Sample ID,Collection Date,Stored at 4C? (Y/N),PCR Inhibited? (Y/N/Partial),Location (Indoor/Outdoor/Transit/Special Event)
"Miami, Fl",G0MD2VYED,2/12/2024,Y,N,Outdoor
"Miami, Fl",G0MD2VYJ3,2/11/2024,Y,N,Outdoor
"Miami, Fl",G0MD2VYK1,2/12/2024,Y,N,Outdoor
"Miami, Fl",G0MD2VYRP,2/11/2024,Y,N,Outdoor
"Miami, FL",G0MD2WYH3,4/21/2024,Y,N,Outdoor
"Miami, FL",G0MD2X92N,4/21/2024,Y,N,Outdoor
"Miami, FL",G0MD2X95F,4/21/2024,Y,N,Outdoor
"Miami, FL",G0MD2X96D,4/23/2024,Y,N,Outdoor
"Miami, FL",G0MD2X9GR,4/21/2024,Y,N,Outdoor
"Miami, FL",G0MD2X9R7,4/21/2024,Y,N,Outdoor
"Miami, FL",G0MD2XPQW,4/22/2024,Y,N,Outdoor
"Miami, FL",G0MD2XPRU,4/23/2024,Y,N,Outdoor
"Miami, FL",G0MD2XPTR,4/22/2024,Y,N,Outdoor
"Miami, FL",G0MD2XPXG,4/22/2024,Y,N,Outdoor
"Miami, FL",G0MD2XQ35,4/22/2024,Y,N,Outdoor
"Miami, FL",G0MD2XQ7W,4/23/2024,Y,N,Outdoor
"Miami, FL",G0MD2XQ9R,4/22/2024,Y,N,Outdoor
"Miami, FL",G0MD2XQAP,4/23/2024,Y,N,Outdoor
"Miami, FL",G0MD2XQEG,4/23/2024,Y,N,Outdoor
"Miami, FL",G0MD2YRK1,7/21/2024,Y,N,Outdoor
"Miami, FL",G0MD2YRMY,7/21/2024,Y,N,Outdoor
"Miami, FL",G0MD2YRRP,7/21/2024,Y,N,Outdoor
"Miami, FL",G0MD2YRXC,7/23/2024,Y,N,Outdoor
"Miami, FL",G0MD2YT07,7/23/2024,Y,N,Outdoor
"Miami, FL",G0MD2YTCG,7/21/2024,Y,N,Outdoor
"Miami, FL",G0MD30Q5W,7/21/2024,Y,N,Outdoor
